AGENTNAME,ORDERBOOK,HOLDING_RATIO,HOLDING,OB_HOLDING
am-fund6-esg-top_20_fr_g-02,FR0010313833,0.630593,1922,1212
am-fund6-esg-top_20_fr_g-02,FR0010307819,0.369406,1922,710
am-fund5-esg-top_20_fr_s-02,FR0000121972,0.090570,1877,170
am-fund5-esg-top_20_fr_s-02,FR0010307819,0.727224,1877,1365
am-fund5-esg-top_20_fr_s-02,FR0000133308,0.079914,1877,150
am-fund5-esg-top_20_fr_s-02,FR0000131104,0.102290,1877,192
am-fund3-perf-all_fr_big_market_cap-02,FR0000125486,0.523940,1817,952
am-fund3-perf-all_fr_big_market_cap-02,FR0000051807,0.321959,1817,585
am-fund3-perf-all_fr_big_market_cap-02,FR0000125007,0.154100,1817,280
am-fund8-perf-technology-01,FR0000050809,0.383219,1764,676
am-fund8-perf-technology-01,FR0011981968,0.000000,1764,0
am-fund8-perf-technology-01,FR0000054470,0.208616,1764,368
am-fund8-perf-technology-01,FR0000071946,0.408163,1764,720
am-fund2-esg-top_20_fr_esg-05,FR0000131104,0.119047,1386,165
am-fund2-esg-top_20_fr_esg-05,FR0010307819,0.753968,1386,1045
am-fund2-esg-top_20_fr_esg-05,FR0000120644,0.126984,1386,176
am-fund8-perf-technology-02,FR0011981968,0.350220,1362,477
am-fund8-perf-technology-02,FR0000071946,0.048458,1362,66
am-fund8-perf-technology-02,FR0000054470,0.601321,1362,819
am-fund2-esg-top_20_fr_esg-01,FR0010307819,1.000000,1290,1290
am-fund2-esg-top_20_fr_esg-01,FR0000131104,0.000000,1290,0
am-fund9-esg-best_of_class_esg-04,FR0000120644,0.014000,1000,14
am-fund9-esg-best_of_class_esg-04,FR0010313833,0.986000,1000,986
am-fund4-esg-top_20_fr_e-01,FR0010220475,1.000000,996,996
am-fund2-esg-top_20_fr_esg-02,FR0010307819,1.000000,996,996
am-fund4-esg-top_20_fr_e-02,FR0010220475,1.000000,990,990
am-fund9-esg-best_of_class_esg-03,FR0010313833,1.000000,760,760
am-fund5-esg-top_20_fr_s-01,FR0000133308,1.000000,705,705
am-fund7-perf-financial_services-02,FR0000120628,1.000000,704,704
am-fund2-esg-top_20_fr_esg-03,FR0000120644,0.000000,570,0
am-fund2-esg-top_20_fr_esg-03,FR0000120693,1.000000,570,570
am-fund10-perf-consumer_discretionary-01,FR0000121485,0.000000,525,0
am-fund10-perf-consumer_discretionary-01,FR0012435121,0.411428,525,216
am-fund10-perf-consumer_discretionary-01,FR0000130403,0.146666,525,77
am-fund10-perf-consumer_discretionary-01,FR0000120644,0.304761,525,160
am-fund10-perf-consumer_discretionary-01,FR0000121709,0.137142,525,72
am-fund1-perf-lux-01,FR0000052292,1.000000,477,477
am-fund9-esg-best_of_class_esg-01,FR0010313833,1.000000,396,396
am-fund9-esg-best_of_class_esg-01,FR0000052292,0.000000,396,0
am-fund11-perf-energy_auto_brewers-01,FR0010220475,0.000000,0,0
